sayso_subcategory_slug,fsq_category_id,fsq_category_name,count
nail-salons,4f04aa0c2fb6e1c99f3db0b8,Nail Salon,20
nightlife,4bf58dd8d48988d12f951735,Resort,1
nightlife,52e81612bcbc57f1066b7a2e,Sports Club,1
nightlife,52e81612bcbc57f1066b79ec,Salsa Club,1
nightlife,4bf58dd8d48988d18e941735,Comedy Club,4
nightlife,52e81612bcbc57f1066b7a35,Club House,2
nightlife,52e81612bcbc57f1066b79ef,Country Dance Club,1
nightlife,4bf58dd8d48988d1e5931735,Music Venue,1
nightlife,52e81612bcbc57f1066b7a33,Social Club,3
nightlife,4bf58dd8d48988d1e9931735,Rock Club,2
nightlife,4bf58dd8d48988d1d6941735,Strip Club,1
nightlife,4bf58dd8d48988d122941735,Whisky Bar,1
nightlife,4bf58dd8d48988d1d5941735,Hotel Bar,2
nightlife,4bf58dd8d48988d120941735,Karaoke Bar,1
nightlife,4bf58dd8d48988d1e8931735,Piano Bar,1
nightlife,4bf58dd8d48988d1d8941735,Gay Bar,2
nightlife,4bf58dd8d48988d121941735,Lounge,2
nightlife,4bf58dd8d48988d11f941735,Night Club,39
nightlife,4bf58dd8d48988d117941735,Beer Garden,1
nightlife,50327c8591d4c4b30a586d5d,Brewery,1
nightlife,4bf58dd8d48988d119941735,Hookah Bar,2
nightlife,4bf58dd8d48988d123941735,Wine Bar,4
nightlife,4bf58dd8d48988d11b941735,Pub,6
nightlife,4bf58dd8d48988d155941735,Gastropub,5
nightlife,4bf58dd8d48988d11e941735,Cocktail Bar,7
nightlife,4bf58dd8d48988d116941735,Bar,9
pet-services,5032897c91d4c4b30a586d69,Pet Service,5
pet-services,4d954af4a243a5684765b473,Veterinarian,1
pet-services,4bf58dd8d48988d100951735,Pet Supplies Store,17
pet-services,4bf58dd8d48988d1fd941735,Shopping Mall,2
plumbers,4bf58dd8d48988d1e0931735,Coffee Shop,1
restaurants,4bf58dd8d48988d11b941735,Pub,1
restaurants,4bf58dd8d48988d10d941735,German Restaurant,1
restaurants,4bf58dd8d48988d1c0941735,Mediterranean Restaurant,2
restaurants,4f04af1f2fb6e1c99f3db0bb,Turkish Restaurant,1
restaurants,4bf58dd8d48988d14a941735,Vietnamese Restaurant,1
restaurants,52e81612bcbc57f1066b7a02,Belgian Restaurant,2
restaurants,4bf58dd8d48988d1d8941735,Gay Bar,2
restaurants,4bf58dd8d48988d1c1941735,Mexican Restaurant,4
restaurants,4bf58dd8d48988d142941735,Asian Restaurant,1
restaurants,4bf58dd8d48988d1ce941735,Seafood Restaurant,6
restaurants,4bf58dd8d48988d143941735,Breakfast Spot,1
restaurants,52e81612bcbc57f1066b79f1,Bistro,2
restaurants,4bf58dd8d48988d146941735,Deli,4
restaurants,4bf58dd8d48988d1f5931735,Dim Sum Restaurant,1
restaurants,4bf58dd8d48988d1c8941735,African Restaurant,7
restaurants,4bf58dd8d48988d10e941735,Greek Restaurant,3
restaurants,4bf58dd8d48988d1d3941735,Vegan and Vegetarian Restaurant,1
restaurants,4bf58dd8d48988d1ca941735,Pizzeria,5
restaurants,4bf58dd8d48988d1db931735,Tapas Restaurant,4
restaurants,4bf58dd8d48988d157941735,New American Restaurant,3
restaurants,4bf58dd8d48988d120951735,Food Court,1
restaurants,4bf58dd8d48988d1cc941735,Steakhouse,6
restaurants,4bf58dd8d48988d16c941735,Burger Joint,9
restaurants,4bf58dd8d48988d1d2941735,Sushi Restaurant,5
restaurants,4bf58dd8d48988d10c941735,French Restaurant,5
restaurants,4bf58dd8d48988d16a941735,Bakery,2
restaurants,4bf58dd8d48988d155941735,Gastropub,9
restaurants,4bf58dd8d48988d1df931735,BBQ Joint,1
restaurants,4d4b7105d754a06374d81259,Restaurant,11
restaurants,4bf58dd8d48988d10a941735,Ethiopian Restaurant,6
restaurants,4def73e84765ae376e57713a,Portuguese Restaurant,5
restaurants,4bf58dd8d48988d10f941735,Indian Restaurant,6
restaurants,4bf58dd8d48988d111941735,Japanese Restaurant,6
restaurants,4bf58dd8d48988d110941735,Italian Restaurant,12
restaurants,4bf58dd8d48988d16d941735,Café,13
restaurants,4bf58dd8d48988d179941735,Bagel Shop,1
salons,4bf58dd8d48988d1ed941735,Spa,1
salons,4d1cf8421a97d635ce361c31,Tanning Salon,2
salons,4f04aa0c2fb6e1c99f3db0b8,Nail Salon,8
salons,4d4b7105d754a06374d81259,Restaurant,2
salons,4bf58dd8d48988d1fa931735,Hotel,2
salons,54541900498ea6ccd0202697,Health and Beauty Service,2
salons,4bf58dd8d48988d110951735,Hair Salon,74
spas,4bf58dd8d48988d1d5941735,Hotel Bar,1
spas,4bf58dd8d48988d16d941735,Café,1
spas,54541900498ea6ccd0202697,Health and Beauty Service,1
spas,4bf58dd8d48988d110951735,Hair Salon,2
spas,52f2ab2ebcbc57f1066b8b3c,Massage Clinic,4
spas,4bf58dd8d48988d132951735,Hotel Pool,2
spas,4bf58dd8d48988d1fa931735,Hotel,7
spas,4bf58dd8d48988d1ed941735,Spa,82
sports-recreation,4f2a25ac4b909258e854f55f,Neighborhood,1
sports-recreation,4bf58dd8d48988d1f8931735,Bed and Breakfast,1
sports-recreation,4e39a956bd410d7aed40cbc3,Tennis Court,5
sports-recreation,4bf58dd8d48988d103941735,Home (private),1
sports-recreation,56aa371be4b08b9a8d573556,Rugby Stadium,1
sports-recreation,4bf58dd8d48988d1b4941735,College Stadium,1
sports-recreation,4bf58dd8d48988d184941735,Stadium,2
sports-recreation,4cce455aebf7b749d5e191f5,Soccer Field,1
sports-recreation,4bf58dd8d48988d167941735,Skate Park,1
sports-recreation,4bf58dd8d48988d134941735,Dance Studio,1
sports-recreation,52e81612bcbc57f1066b7a26,Recreation Center,1
sports-recreation,52e81612bcbc57f1066b7a2e,Sports Club,2
sports-recreation,4bf58dd8d48988d115951735,Bicycle Store,4
sports-recreation,4f4528bc4b90abdf24c9de85,Sports and Recreation,3
